0,1
ALABAMA,alabama
ALASKA,alaska
ARIZONA,arizona
ARKANSAS,arkansas
CALIFORNIA,california
COLORADO,colorado
CONNECTICUT,connecticut
DELAWARE,delaware
FLORIDA,florida
GEORGIA,georgia
HAWAII,hawaii
IDAHO,idaho
ILLINOIS,illinois
INDIANA,indiana
IOWA,iowa
KANSAS,kansas
KENTUCKY,kentucky
LOUISIANA,louisiana
MAINE,maine
MARYLAND,maryland
MASSACHUSETTS,massachusetts
MICHIGAN,michigan
MINNESOTA,minnesota
MISSISSIPPI,mississippi
MISSOURI,missouri
MONTANA,montana
NEBRASKA,nebraska
NEVADA,nevada
NEW HAMPSHIRE,new hampshire
NEW JERSEY,new jersey
NEW MEXICO,new mexico
NEW YORK,new york
NORTH CAROLINA,north carolina
NORTH DAKOTA,north dakota
OHIO,ohio
OKLAHOMA,oklahoma
OREGON,oregon
PENNSYLVANIA,pennsylvania
RHODE ISLAND,rhode island
SOUTH CAROLINA,south carolina
SOUTH DAKOTA,south dakota
TENNESSEE,tennessee
TEXAS,texas
UTAH,utah
VERMONT,vermont
VIRGINIA,virginia
WASHINGTON,washington
WEST VIRGINIA,west virginia
WISCONSIN,wisconsin
WYOMING,wyoming
